                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2637,                 2.5954,                 1.2662,                 1.0709,                0.78209,                 0.1276,                0.13927,                0.08379,                 0.7697,                0.11662,                 0.1224,                0.05932,                 1.2046,                 2.7268,                0.99821,                 1.0653,               0.008911,               0.008911,               0.008911
                     25,                 1.2724,                 2.6378,                 1.2735,                 1.0743,                0.72851,                0.13292,                0.12841,                 0.0736,                0.72625,                0.11942,                0.11112,                0.05267,                 1.2049,                 2.7454,                 1.0464,                 1.0647,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2782,                 2.6174,                 1.2814,                 1.0755,                0.76789,                 0.1261,                0.13841,                0.07974,                0.76162,                0.11475,                0.11999,                0.05812,                 1.1827,                  2.691,                0.97114,                 1.0612,               0.008812,               0.008812,               0.008812
                     27,                 1.2653,                 2.6167,                 1.2688,                 1.0713,                0.77848,                0.12489,                  0.145,                0.08403,                0.76809,                 0.1151,                0.12817,                0.06168,                 1.1916,                 2.7061,                0.96086,                 1.0702,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.2606,                 2.5988,                 1.2554,                 1.0688,                0.57002,                0.14839,                0.14109,                0.08197,                0.54777,                0.13494,                0.12313,                0.05892,                 1.1819,                 2.6969,                0.97692,                 1.0526,               0.008713,               0.008713,               0.008713
                     29,                 1.2552,                  2.589,                 1.2608,                 1.0695,                0.65104,                 0.1447,                0.14067,                0.08375,                0.60662,                0.13294,                0.12531,                0.05994,                 1.1622,                 2.6925,                0.96597,                 1.0526,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2457,                 2.5723,                 1.2542,                 1.0642,                0.59732,                0.14505,                0.14297,                0.08512,                0.63612,                0.12889,                0.12812,                0.06188,                 1.1947,                 2.6873,                 1.0014,                 1.0593,               0.008614,               0.008614,               0.008614
                     31,                  1.256,                 2.5823,                 1.2516,                 1.0663,                0.78979,                0.11825,                0.14415,                0.08732,                0.77852,                0.10938,                 0.1279,                 0.0628,                 1.2001,                 2.6797,                0.99548,                 1.0596,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2547,                 2.5963,                   1.26,                  1.071,                0.77282,                0.12971,                0.14229,                0.08557,                0.76279,                 0.1193,                0.12668,                0.06298,                 1.1709,                 2.6811,                0.97255,                 1.0498,               0.008515,               0.008515,               0.008515
                     33,                 1.2503,                    2.6,                 1.2395,                 1.0641,                0.78177,                0.13115,                 0.1464,                0.08743,                 0.7696,                 0.1213,                0.13222,                0.06335,                 1.1718,                 2.6655,                0.96211,                 1.0552,              0.0084655,              0.0084655,              0.0084655
                     34,                  1.247,                 2.5869,                 1.2547,                 1.0662,                0.47746,                 0.1452,                0.14121,                0.08287,                0.47018,                0.13221,                0.12627,                0.06052,                 1.1712,                 2.6673,                0.97907,                 1.0601,               0.008416,               0.008416,               0.008416
