                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.218,                 2.5313,                 1.2054,                  1.071,                0.78741,                0.12915,                0.14314,                0.08306,                0.77273,                0.11564,                0.12186,                0.05881,                 1.1678,                 2.6405,                0.93651,                 1.0708,               0.008911,               0.008911,               0.008911
                     25,                 1.2026,                 2.5008,                 1.2074,                 1.0637,                0.51435,                0.15634,                0.15109,                0.08861,                0.48099,                0.14235,                0.13076,                0.06313,                 1.1403,                 2.6665,                0.95192,                 1.0705,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2016,                 2.5079,                  1.198,                 1.0629,                0.56606,                 0.1449,                0.14639,                0.08495,                0.55493,                0.13576,                 0.1293,                0.06043,                 1.1438,                  2.641,                0.94284,                  1.068,               0.008812,               0.008812,               0.008812
                     27,                 1.1993,                 2.4989,                 1.2055,                  1.062,                0.75354,                0.15253,                0.15835,                0.09171,                0.75898,                0.13247,                0.13314,                0.06211,                 1.1513,                 2.6235,                0.93955,                 1.0696,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.2044,                 2.5215,                 1.2097,                 1.0657,                0.59573,                0.13893,                0.14378,                0.08767,                0.57804,                0.12886,                0.12985,                 0.0631,                    nan,                 3.0585,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     29,                 1.1921,                 2.4919,                 1.2063,                  1.058,                0.57764,                0.14364,                0.14509,                0.08823,                0.56066,                0.12742,                0.12996,                0.06552,                 1.1356,                 2.6248,                0.93095,                 1.0634,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.1886,                 2.4827,                  1.186,                 1.0596,                0.53394,                0.16952,                0.16075,                0.09555,                0.52875,                0.14678,                0.13639,                0.06651,                 1.1196,                 2.5796,                0.89912,                 1.0604,               0.008614,               0.008614,               0.008614
                     31,                  1.195,                 2.5021,                 1.1777,                 1.0622,                0.67042,                0.15324,                0.15749,                0.09114,                 0.6617,                0.13102,                0.13168,                0.06371,                 1.1346,                 2.6249,                0.91409,                 1.0638,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.1835,                 2.4904,                 1.1814,                 1.0556,                0.67769,                 0.1558,                0.15648,                0.09399,                0.66598,                0.14363,                0.14098,                0.06762,                 1.1187,                 2.6043,                0.90076,                 1.0576,               0.008515,               0.008515,               0.008515
                     33,                 1.1897,                 2.5032,                 1.1712,                 1.0542,                 0.7466,                0.14315,                0.15919,                0.09546,                0.73527,                0.13012,                0.13884,                0.06734,                 1.1143,                 2.5913,                0.90672,                  1.042,              0.0084655,              0.0084655,              0.0084655
